Latitude (decimal degrees):	51.028
Longitude (decimal degrees):	7.563
Elevation (m):	254
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230104:0910,43.57,65.75,9.77,7.89,6.55,0.0
20230104:1010,34.88,55.63,13.98,8.41,6.55,0.0
20230104:1110,36.33,57.48,16.06,8.8,6.76,0.0
20230104:1210,22.98,40.79,15.81,8.93,6.76,0.0
20230104:1310,28.05,47.28,13.24,9.15,6.69,0.0
20230104:1410,9.98,23.18,8.61,9.35,6.76,0.0
20230104:1510,0.0,2.62,2.27,9.49,6.55,0.0
20230104:1610,0.0,0.0,0.0,9.45,6.55,0.0
20230104:1710,0.0,0.0,0.0,9.6,7.45,0.0
20230104:1810,0.0,0.0,0.0,9.4,8.0,0.0
20230104:1910,0.0,0.0,0.0,9.25,8.48,0.0
20230104:2010,0.0,0.0,0.0,8.84,7.66,0.0
20230104:2110,0.0,0.0,0.0,8.46,6.9,0.0
20230104:2210,0.0,0.0,0.0,8.27,6.55,0.0
20230104:2310,0.0,0.0,0.0,8.19,6.21,0.0
20230105:0010,0.0,0.0,0.0,8.06,5.93,0.0
20230105:0110,0.0,0.0,0.0,7.93,6.0,0.0
20230105:0210,0.0,0.0,0.0,7.92,6.62,0.0
20230105:0310,0.0,0.0,0.0,7.83,6.21,0.0
20230105:0410,0.0,0.0,0.0,7.54,6.48,0.0
20230105:0510,0.0,0.0,0.0,7.39,6.21,0.0
20230105:0610,0.0,0.0,0.0,7.25,6.07,0.0
20230105:0710,0.0,0.0,0.0,6.72,5.38,0.0
20230105:0810,10.07,23.18,3.81,6.67,4.9,0.0
20230105:0910,18.21,34.3,9.83,6.95,4.76,0.0
20230105:1010,53.6,77.67,14.06,7.28,4.41,0.0
20230105:1110,41.94,63.97,16.16,7.41,4.97,0.0
20230105:1210,25.29,43.57,15.92,7.77,5.17,0.0
20230105:1310,123.03,155.62,13.37,8.06,5.1,0.0
20230105:1410,97.5,127.43,8.75,8.07,4.41,0.0
20230105:1510,0.0,1.75,2.42,7.71,3.52,0.0
20230105:1610,0.0,0.0,0.0,7.21,2.97,0.0
20230105:1710,0.0,0.0,0.0,7.07,2.48,0.0
20230105:1810,0.0,0.0,0.0,7.22,2.28,0.0
20230105:1910,0.0,0.0,0.0,7.52,2.69,0.0
20230105:2010,0.0,0.0,0.0,7.71,2.83,0.0
20230105:2110,0.0,0.0,0.0,7.93,2.9,0.0
20230105:2210,0.0,0.0,0.0,8.19,2.9,0.0
20230105:2310,0.0,0.0,0.0,8.4,3.03,0.0
20230106:0010,0.0,0.0,0.0,8.44,2.97,0.0
20230106:0110,0.0,0.0,0.0,8.48,2.76,0.0
20230106:0210,0.0,0.0,0.0,8.34,3.03,0.0
20230106:0310,0.0,0.0,0.0,8.18,3.24,0.0
20230106:0410,0.0,0.0,0.0,7.99,3.66,0.0
20230106:0510,0.0,0.0,0.0,7.6,3.93,0.0
20230106:0610,0.0,0.0,0.0,7.17,4.07,0.0
20230106:0710,0.0,0.0,0.0,7.65,4.28,0.0
20230106:0810,42.58,65.27,3.86,7.49,4.55,0.0
20230106:0910,158.38,194.51,9.9,7.88,4.76,0.0
20230106:1010,11.34,25.03,14.15,8.03,4.69,0.0
20230106:1110,35.65,56.55,16.27,8.2,4.55,0.0
20230106:1210,28.89,48.21,16.05,8.25,4.55,0.0
20230106:1310,77.64,105.38,13.51,8.23,4.55,0.0
20230106:1410,27.3,46.15,8.89,8.29,4.48,0.0
20230106:1510,0.0,1.75,2.56,8.25,3.93,0.0
20230106:1610,0.0,0.0,0.0,8.14,3.72,0.0
20230106:1710,0.0,0.0,0.0,8.1,3.38,0.0
20230106:1810,0.0,0.0,0.0,8.09,3.59,0.0
20230106:1910,0.0,0.0,0.0,8.01,3.45,0.0
20230106:2010,0.0,0.0,0.0,8.03,3.59,0.0
20230106:2110,0.0,0.0,0.0,8.04,3.66,0.0
20230106:2210,0.0,0.0,0.0,8.03,3.72,0.0
20230106:2310,0.0,0.0,0.0,8.02,3.72,0.0
20230107:0010,0.0,0.0,0.0,8.02,3.59,0.0
20230107:0110,0.0,0.0,0.0,8.0,3.45,0.0
20230107:0210,0.0,0.0,0.0,7.96,3.24,0.0
20230107:0310,0.0,0.0,0.0,8.04,3.24,0.0
20230107:0410,0.0,0.0,0.0,7.92,3.45,0.0
20230107:0510,0.0,0.0,0.0,7.79,3.66,0.0
20230107:0610,0.0,0.0,0.0,7.57,3.79,0.0
20230107:0710,0.0,0.0,0.0,7.26,3.52,0.0
20230107:0810,23.5,41.45,3.92,7.07,3.52,0.0
20230107:0910,14.72,29.67,9.98,7.2,3.59,0.0
20230107:1010,26.72,45.43,14.25,7.89,4.0,0.0
20230107:1110,162.49,199.68,16.39,8.31,4.28,0.0
20230107:1210,21.52,38.94,16.18,9.0,4.0,0.0
20230107:1310,25.8,44.5,13.66,9.36,4.34,0.0
20230107:1410,15.25,30.59,9.05,9.21,4.83,0.0
20230107:1510,0.0,3.5,2.72,8.54,4.76,0.0
20230107:1610,0.0,0.0,0.0,7.67,4.76,0.0
20230107:1710,0.0,0.0,0.0,7.25,4.83,0.0
20230107:1810,0.0,0.0,0.0,7.34,4.9,0.0
20230107:1910,0.0,0.0,0.0,7.46,4.97,0.0
20230107:2010,0.0,0.0,0.0,7.67,5.03,0.0
20230107:2110,0.0,0.0,0.0,7.97,5.03,0.0
20230107:2210,0.0,0.0,0.0,8.31,5.03,0.0
20230107:2310,0.0,0.0,0.0,8.49,4.97,0.0
20230108:0010,0.0,0.0,0.0,8.52,4.76,0.0
20230108:0110,0.0,0.0,0.0,8.33,4.69,0.0
20230108:0210,0.0,0.0,0.0,8.22,4.69,0.0
20230108:0310,0.0,0.0,0.0,8.15,4.83,0.0
20230108:0410,0.0,0.0,0.0,7.64,4.76,0.0
20230108:0510,0.0,0.0,0.0,7.48,4.62,0.0
20230108:0610,0.0,0.0,0.0,7.35,4.62,0.0
20230108:0710,0.0,0.0,0.0,7.52,4.83,0.0
20230108:0810,11.12,24.75,3.99,7.45,4.21,0.0
20230108:0910,198.1,238.27,10.06,7.22,3.45,0.0
20230108:1010,463.83,537.92,14.36,7.42,3.72,0.0
20230108:1110,543.12,630.43,16.51,7.82,4.28,0.0
20230108:1210,211.93,253.12,16.32,7.84,4.9,0.0
20230108:1310,113.44,144.84,13.81,7.75,5.79,0.0
20230108:1410,302.41,353.35,9.2,7.55,5.59,0.0
20230108:1510,0.2,6.12,2.88,7.16,4.34,0.0
20230108:1610,0.0,0.0,0.0,6.14,3.59,0.0
20230108:1710,0.0,0.0,0.0,5.57,4.0,0.0
20230108:1810,0.0,0.0,0.0,5.38,4.07,0.0
20230108:1910,0.0,0.0,0.0,5.28,4.0,0.0
20230108:2010,0.0,0.0,0.0,5.34,4.21,0.0
20230108:2110,0.0,0.0,0.0,5.47,4.41,0.0
20230108:2210,0.0,0.0,0.0,5.87,4.9,0.0
20230108:2310,0.0,0.0,0.0,6.12,5.03,0.0
20230109:0010,0.0,0.0,0.0,6.29,5.59,0.0
20230109:0110,0.0,0.0,0.0,6.01,5.66,0.0
20230109:0210,0.0,0.0,0.0,5.53,4.97,0.0
20230109:0310,0.0,0.0,0.0,5.34,4.41,0.0
20230109:0410,0.0,0.0,0.0,5.1,3.59,0.0
20230109:0510,0.0,0.0,0.0,4.56,3.79,0.0
20230109:0610,0.0,0.0,0.0,4.24,4.28,0.0
20230109:0710,0.0,0.0,0.0,3.96,4.62,0.0
20230109:0810,12.62,26.54,4.06,4.05,4.76,0.0
20230109:0910,103.53,132.02,10.16,4.45,5.59,0.0
20230109:1010,53.31,76.64,14.47,5.05,4.76,0.0
20230109:1110,43.06,64.9,16.64,5.68,4.34,0.0
20230109:1210,85.46,113.29,16.47,5.7,5.24,0.0
20230109:1310,163.19,197.92,13.96,5.68,4.48,0.0
20230109:1410,45.09,66.92,9.37,5.17,5.1,0.0
20230109:1510,0.0,3.5,3.05,4.78,4.41,0.0
20230109:1610,0.0,0.0,0.0,4.29,3.86,0.0
20230109:1710,0.0,0.0,0.0,4.03,3.66,0.0
20230109:1810,0.0,0.0,0.0,3.58,3.45,0.0
20230109:1910,0.0,0.0,0.0,3.61,3.52,0.0
20230109:2010,0.0,0.0,0.0,3.64,3.52,0.0
20230109:2110,0.0,0.0,0.0,3.41,3.66,0.0
20230109:2210,0.0,0.0,0.0,3.35,3.79,0.0
20230109:2310,0.0,0.0,0.0,3.09,3.52,0.0
20230110:0010,0.0,0.0,0.0,2.97,3.52,0.0
20230110:0110,0.0,0.0,0.0,3.05,4.0,0.0
20230110:0210,0.0,0.0,0.0,3.08,4.07,0.0
20230110:0310,0.0,0.0,0.0,3.05,3.66,0.0
20230110:0410,0.0,0.0,0.0,2.85,3.31,0.0
20230110:0510,0.0,0.0,0.0,2.66,3.17,0.0
20230110:0610,0.0,0.0,0.0,2.27,2.97,0.0
20230110:0710,0.0,0.0,0.0,2.21,3.1,0.0
20230110:0810,4.26,13.91,4.14,2.01,3.03,0.0
20230110:0910,42.16,62.88,10.25,2.39,3.24,0.0
20230110:1010,73.82,99.09,14.59,2.98,4.21,0.0
20230110:1110,245.09,284.75,16.78,3.77,4.55,0.0
20230110:1210,202.81,239.55,16.62,4.21,4.69,0.0
20230110:1310,71.04,96.52,14.13,4.54,4.76,0.0
20230110:1410,38.92,59.53,9.54,4.52,4.41,0.0
20230110:1510,0.0,5.25,3.22,4.37,4.48,0.0
20230110:1610,0.0,0.0,0.0,4.29,4.62,0.0
20230110:1710,0.0,0.0,0.0,4.41,5.1,0.0
20230110:1810,0.0,0.0,0.0,4.19,5.79,0.0
20230110:1910,0.0,0.0,0.0,3.8,5.93,0.0
20230110:2010,0.0,0.0,0.0,3.88,6.0,0.0
20230110:2110,0.0,0.0,0.0,4.13,5.86,0.0
20230110:2210,0.0,0.0,0.0,4.52,5.66,0.0
20230110:2310,0.0,0.0,0.0,4.98,5.59,0.0
20230111:0010,0.0,0.0,0.0,5.5,5.66,0.0
20230111:0110,0.0,0.0,0.0,6.09,5.59,0.0
20230111:0210,0.0,0.0,0.0,6.65,5.38,0.0
20230111:0310,0.0,0.0,0.0,7.25,5.45,0.0
20230111:0410,0.0,0.0,0.0,7.84,5.59,0.0
20230111:0510,0.0,0.0,0.0,8.26,5.52,0.0
20230111:0610,0.0,0.0,0.0,8.63,5.45,0.0
20230111:0710,0.0,0.0,0.0,8.45,5.45,0.0
20230111:0810,2.04,10.2,4.23,8.36,4.83,0.0
20230111:0910,9.41,22.25,10.36,8.22,3.79,0.0
20230111:1010,24.53,42.65,14.71,7.96,4.41,0.0
20230111:1110,50.39,74.17,16.93,7.79,4.14,0.0
20230111:1210,202.03,242.92,16.78,7.69,3.52,0.0
20230111:1310,115.2,147.22,14.3,7.78,3.66,0.0
20230111:1410,95.57,125.0,9.71,7.44,4.34,0.0
20230111:1510,0.0,2.78,3.4,6.88,4.28,0.0
20230111:1610,0.0,0.0,0.0,5.94,4.0,0.0
20230111:1710,0.0,0.0,0.0,5.49,3.93,0.0
20230111:1810,0.0,0.0,0.0,5.44,4.34,0.0
20230111:1910,0.0,0.0,0.0,5.49,4.9,0.0
20230111:2010,0.0,0.0,0.0,5.48,5.03,0.0
20230111:2110,0.0,0.0,0.0,5.39,5.24,0.0
20230111:2210,0.0,0.0,0.0,5.6,5.93,0.0
20230111:2310,0.0,0.0,0.0,5.38,6.55,0.0
20230112:0010,0.0,0.0,0.0,5.3,6.41,0.0
20230112:0110,0.0,0.0,0.0,5.67,6.41,0.0
20230112:0210,0.0,0.0,0.0,5.92,6.34,0.0
20230112:0310,0.0,0.0,0.0,6.05,6.14,0.0
20230112:0410,0.0,0.0,0.0,6.07,6.21,0.0
20230112:0510,0.0,0.0,0.0,6.16,6.62,0.0
20230112:0610,0.0,0.0,0.0,6.27,6.9,0.0
20230112:0710,0.0,0.0,0.0,6.52,6.9,0.0
20230112:0810,10.79,24.19,4.33,6.69,6.9,0.0
20230112:0910,52.11,75.54,10.47,7.02,6.97,0.0
20230112:1010,37.37,58.41,14.85,7.34,7.03,0.0
20230112:1110,60.41,85.62,17.08,7.6,7.03,0.0
20230112:1210,89.84,119.0,16.95,7.77,6.76,0.0
20230112:1310,28.23,47.28,14.48,7.86,6.55,0.0
20230112:1410,59.8,84.68,9.9,7.91,6.41,0.0
20230112:1510,0.72,7.42,3.58,7.93,6.41,0.0
20230112:1610,0.0,0.0,0.0,7.92,6.28,0.0
20230112:1710,0.0,0.0,0.0,7.89,6.28,0.0
20230112:1810,0.0,0.0,0.0,7.87,6.48,0.0
20230112:1910,0.0,0.0,0.0,7.99,6.48,0.0
20230112:2010,0.0,0.0,0.0,8.06,6.41,0.0
20230112:2110,0.0,0.0,0.0,8.05,6.55,0.0
20230112:2210,0.0,0.0,0.0,8.03,6.55,0.0
20230112:2310,0.0,0.0,0.0,8.03,6.07,0.0
20230113:0010,0.0,0.0,0.0,7.97,6.07,0.0
20230113:0110,0.0,0.0,0.0,7.81,5.93,0.0
20230113:0210,0.0,0.0,0.0,7.58,6.55,0.0
20230113:0310,0.0,0.0,0.0,7.02,6.07,0.0
20230113:0410,0.0,0.0,0.0,6.7,5.03,0.0
20230113:0510,0.0,0.0,0.0,6.15,4.83,0.0
20230113:0610,0.0,0.0,0.0,5.96,5.17,0.0
20230113:0710,0.0,0.0,0.0,5.98,5.66,0.0
20230113:0810,0.0,3.71,4.43,5.68,5.79,0.0
20230113:0910,55.63,79.2,10.6,5.47,5.72,0.0
20230113:1010,15.52,30.59,14.99,5.96,6.07,0.0
20230113:1110,9.52,22.25,17.24,6.28,6.34,0.0
20230113:1210,24.8,42.65,17.12,6.04,7.86,0.0
20230113:1310,68.79,94.56,14.66,6.19,7.31,0.0
20230113:1410,382.87,437.35,10.08,5.78,7.93,0.0
20230113:1510,0.0,2.78,3.77,5.48,6.55,0.0
20230113:1610,0.0,0.0,0.0,5.22,6.14,0.0
20230113:1710,0.0,0.0,0.0,5.07,5.52,0.0
20230113:1810,0.0,0.0,0.0,5.14,5.45,0.0
20230113:1910,0.0,0.0,0.0,4.99,5.45,0.0
20230113:2010,0.0,0.0,0.0,4.75,5.31,0.0
20230113:2110,0.0,0.0,0.0,4.66,5.1,0.0
20230113:2210,0.0,0.0,0.0,4.7,5.1,0.0
20230113:2310,0.0,0.0,0.0,4.65,4.83,0.0
20230114:0010,0.0,0.0,0.0,4.47,4.41,0.0
20230114:0110,0.0,0.0,0.0,4.14,4.28,0.0
20230114:0210,0.0,0.0,0.0,3.99,4.14,0.0
20230114:0310,0.0,0.0,0.0,3.87,4.07,0.0
20230114:0410,0.0,0.0,0.0,3.95,3.72,0.0
20230114:0510,0.0,0.0,0.0,4.22,3.93,0.0
20230114:0610,0.0,0.0,0.0,4.45,4.0,0.0
20230114:0710,0.0,0.0,0.0,4.49,4.83,0.0
20230114:0810,0.75,7.42,4.54,4.7,5.24,0.0
20230114:0910,64.39,88.94,10.72,4.91,5.66,0.0
20230114:1010,28.57,47.28,15.14,5.47,5.93,0.0
20230114:1110,32.99,52.85,17.4,6.16,6.55,0.0
20230114:1210,25.46,43.57,17.31,6.59,6.97,0.0
20230114:1310,22.51,39.87,14.85,6.83,7.03,0.0
20230114:1410,15.43,30.59,10.28,7.13,7.1,0.0
20230114:1510,0.34,6.49,3.96,7.42,6.9,0.0
20230114:1610,0.0,0.0,0.0,7.74,6.9,0.0
20230114:1710,0.0,0.0,0.0,8.18,7.1,0.0
20230114:1810,0.0,0.0,0.0,8.65,7.17,0.0
20230114:1910,0.0,0.0,0.0,8.61,6.9,0.0
20230114:2010,0.0,0.0,0.0,8.73,6.41,0.0
20230114:2110,0.0,0.0,0.0,8.76,5.72,0.0
20230114:2210,0.0,0.0,0.0,8.79,5.52,0.0
20230114:2310,0.0,0.0,0.0,8.47,5.86,0.0
20230115:0010,0.0,0.0,0.0,7.5,5.93,0.0
20230115:0110,0.0,0.0,0.0,6.29,5.03,0.0
20230115:0210,0.0,0.0,0.0,5.45,5.1,0.0
20230115:0310,0.0,0.0,0.0,4.69,4.9,0.0
20230115:0410,0.0,0.0,0.0,4.08,4.48,0.0
20230115:0510,0.0,0.0,0.0,3.68,4.48,0.0
20230115:0610,0.0,0.0,0.0,3.34,4.97,0.0
20230115:0710,0.0,0.0,0.0,3.46,5.52,0.0
20230115:0810,180.03,218.89,4.65,3.31,5.66,0.0
20230115:0910,66.29,90.59,10.86,3.48,5.86,0.0
20230115:1010,261.82,301.53,15.29,3.75,6.48,0.0
20230115:1110,141.67,173.74,17.58,4.37,6.21,0.0
20230115:1210,66.94,92.06,17.49,4.61,6.97,0.0
20230115:1310,11.56,25.03,15.05,4.65,6.9,0.0
20230115:1410,22.79,39.87,10.47,4.38,5.79,0.0
20230115:1510,0.0,5.56,4.16,4.06,6.9,0.0
20230115:1610,0.0,0.0,0.0,3.32,6.34,0.0
20230115:1710,0.0,0.0,0.0,3.26,6.21,0.0
20230115:1810,0.0,0.0,0.0,3.26,5.79,0.0
20230115:1910,0.0,0.0,0.0,3.36,5.93,0.0
20230115:2010,0.0,0.0,0.0,2.98,4.76,0.0
20230115:2110,0.0,0.0,0.0,2.63,4.62,0.0
20230115:2210,0.0,0.0,0.0,2.58,4.62,0.0
20230115:2310,0.0,0.0,0.0,2.35,4.9,0.0
20230116:0010,0.0,0.0,0.0,2.13,4.97,0.0
20230116:0110,0.0,0.0,0.0,1.86,4.55,0.0
20230116:0210,0.0,0.0,0.0,1.75,4.07,0.0
20230116:0310,0.0,0.0,0.0,1.72,3.93,0.0
20230116:0410,0.0,0.0,0.0,1.95,4.07,0.0
20230116:0510,0.0,0.0,0.0,2.33,4.62,0.0
20230116:0610,0.0,0.0,0.0,2.44,5.1,0.0
20230116:0710,0.0,0.0,0.0,2.67,5.52,0.0
20230116:0810,19.42,35.44,4.77,2.53,6.14,0.0
20230116:0910,68.25,92.22,11.0,2.01,6.69,0.0
20230116:1010,60.65,83.89,15.45,1.61,6.9,0.0
20230116:1110,77.35,102.54,17.76,1.61,6.55,0.0
20230116:1210,15.85,30.59,17.69,2.01,7.17,0.0
20230116:1310,207.01,241.78,15.25,2.39,5.59,0.0
20230116:1410,22.27,38.94,10.68,2.5,5.38,0.0
20230116:1510,58.04,82.13,4.36,2.32,6.0,0.0
20230116:1610,0.0,0.0,0.0,1.96,5.31,0.0
20230116:1710,0.0,0.0,0.0,1.53,4.48,0.0
20230116:1810,0.0,0.0,0.0,1.22,3.86,0.0
20230116:1910,0.0,0.0,0.0,1.45,3.93,0.0
20230116:2010,0.0,0.0,0.0,1.67,3.72,0.0
20230116:2110,0.0,0.0,0.0,1.63,4.9,0.0
20230116:2210,0.0,0.0,0.0,1.32,5.59,0.0
20230116:2310,0.0,0.0,0.0,0.99,6.55,0.0
20230117:0010,0.0,0.0,0.0,0.82,6.07,0.0
20230117:0110,0.0,0.0,0.0,0.57,6.48,0.0
20230117:0210,0.0,0.0,0.0,0.16,5.93,0.0
20230117:0310,0.0,0.0,0.0,-0.03,5.72,0.0
20230117:0410,0.0,0.0,0.0,-0.36,5.1,0.0
20230117:0510,0.0,0.0,0.0,-0.7,4.62,0.0
20230117:0610,0.0,0.0,0.0,-0.98,3.72,0.0
20230117:0710,0.0,0.0,0.0,-0.95,3.03,0.0
20230117:0810,6.72,17.62,4.9,-1.22,2.48,0.0
20230117:0910,182.63,214.03,11.15,-0.89,3.1,0.0
20230117:1010,82.61,107.66,15.62,-0.48,2.55,0.0
20230117:1110,63.64,87.15,17.94,0.13,2.07,0.0
20230117:1210,357.18,407.44,17.89,0.68,1.72,0.0
20230117:1310,538.6,620.51,15.45,0.86,1.38,0.0
20230117:1410,363.01,417.84,10.89,0.92,1.1,0.0
20230117:1510,166.97,204.76,4.57,0.55,0.9,0.0
20230117:1610,0.0,0.0,0.0,-0.51,1.24,0.0
20230117:1710,0.0,0.0,0.0,-2.06,1.45,0.0
20230117:1810,0.0,0.0,0.0,-3.35,1.52,0.0
20230117:1910,0.0,0.0,0.0,-4.15,1.66,0.0
20230117:2010,0.0,0.0,0.0,-4.72,1.66,0.0
20230117:2110,0.0,0.0,0.0,-5.06,1.66,0.0
20230117:2210,0.0,0.0,0.0,-5.15,1.79,0.0
20230117:2310,0.0,0.0,0.0,-5.05,1.79,0.0
20230118:0010,0.0,0.0,0.0,-5.02,1.79,0.0
20230118:0110,0.0,0.0,0.0,-4.86,1.86,0.0
20230118:0210,0.0,0.0,0.0,-4.56,1.93,0.0
20230118:0310,0.0,0.0,0.0,-4.45,1.86,0.0
20230118:0410,0.0,0.0,0.0,-4.54,1.66,0.0
20230118:0510,0.0,0.0,0.0,-4.65,1.45,0.0
20230118:0610,0.0,0.0,0.0,-4.43,1.03,0.0
20230118:0710,0.0,0.0,0.0,-3.56,0.07,0.0
20230118:0810,204.7,242.33,5.04,-3.69,0.62,0.0
20230118:0910,419.55,476.36,11.3,-3.02,0.69,0.0
20230118:1010,437.85,493.96,15.8,-1.48,1.79,0.0
20230118:1110,389.61,439.82,18.14,-0.33,2.48,0.0
20230118:1210,680.75,777.22,18.09,0.54,3.31,0.0
20230118:1310,605.32,687.5,15.67,0.97,3.45,0.0
20230118:1410,402.9,457.43,11.1,0.85,2.97,0.0
20230118:1510,162.62,198.34,4.78,0.04,2.28,0.0
20230118:1610,0.0,0.0,0.0,-1.52,2.48,0.0
20230118:1710,0.0,0.0,0.0,-2.39,2.55,0.0
20230118:1810,0.0,0.0,0.0,-2.82,2.62,0.0
20230118:1910,0.0,0.0,0.0,-2.8,2.9,0.0
20230118:2010,0.0,0.0,0.0,-2.92,2.83,0.0
20230118:2110,0.0,0.0,0.0,-2.98,2.83,0.0
20230118:2210,0.0,0.0,0.0,-2.95,2.97,0.0
20230118:2310,0.0,0.0,0.0,-2.51,3.17,0.0
20230119:0010,0.0,0.0,0.0,-2.17,3.31,0.0
20230119:0110,0.0,0.0,0.0,-1.99,3.38,0.0
20230119:0210,0.0,0.0,0.0,-1.64,3.52,0.0
20230119:0310,0.0,0.0,0.0,-1.45,3.66,0.0
20230119:0410,0.0,0.0,0.0,-1.4,3.72,0.0
20230119:0510,0.0,0.0,0.0,-1.37,3.79,0.0
20230119:0610,0.0,0.0,0.0,-1.31,3.86,0.0
20230119:0710,0.0,0.0,0.0,-1.47,4.14,0.0
